mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
4.9158e+06,0.64173,0,0,1,1000,1.3863,4.7858e+05,0,8.0029e+08,2.2896,9.3399e+06,2.9881,2.871,1.5741,23767,1,23767
2.9864e+06,0.49385,0,0,1,1000,1.3863,3.3937e+05,0,7.4314e+08,9.7132,8.2346e+06,1.1767,3.2774,0.85593,34198,2,34198
4.5741e+06,0.44211,0,0,1,1000,1.3863,3.4741e+05,0,9.5022e+08,99.723,6.4631e+06,2.3073,2.1799,1.9302,14225,3,14225
3.9567e+06,0.96738,0,0,1,1000,1.3863,3.5468e+05,0,2.7605e+08,99.999,2.2382e+06,1.9789,2.3623,1.4008,28056,4,28056
3.2085e+06,0.40451,0,0,1,1000,1.3863,3.7563e+05,0,5.0598e+08,84.072,2.5428e+06,2.0972,4.4545,2.01,10345,5,10345
3.9045e+06,0.3,0,0,1,1000,1.3863,4.0811e+05,0,9.2927e+08,71.159,5.4972e+06,2.4953,5,2.9154,7461,6,7461
3.0324e+06,0.30269,0,0,1,1000,1.3863,4.586e+05,0,7.5721e+08,94.035,1.2991e+06,2.9999,4.9999,2.9994,7938.3,7,7938.3
4.0194e+06,0.39119,0,0,1,1000,1.3863,2.8441e+05,0,1.1941e+07,11.634,6.5408e+06,1.3004,4.9809,2.2387,8129.6,8,8129.6
4.6377e+06,0.67728,0,0,1,1000,1.3863,3.4461e+05,0,4.5056e+08,99.539,4.4268e+06,0.29692,1.1584,2.0174,3.5369e+05,9,3.5369e+05
3.7517e+06,0.53993,0,0,1,1000,1.3863,53326,0,4.6733e+06,43.198,9.1065e+06,2.6377,4.0544,2.9951,5013.7,10,5013.7
3.2217e+06,0.30057,0,0,1,1000,1.3863,90902,0,1.4557e+08,20.296,5.1325e+06,0.7564,4.9998,1.2732,6391,11,6391
3.0233e+06,0.30226,0,0,1,1000,1.3863,2.0642e+05,0,2.3995e+08,2.9537e-07,4.8924e+06,0.63426,2.8618,0.70307,23800,12,23801
3.7602e+06,0.99998,0,0,1,1000,1.3863,1.6886e+05,0,3.6927e+08,96.339,9.5613e+06,2.6205,3.9059,1.921,8100.1,13,8100.1
3.2716e+06,0.8614,0,0,1,1000,1.3863,2.8763e+05,0,2.3481e+08,54.879,4.5092e+06,2.2118,4.6089,3,7009.2,14,7009.2
4.2214e+06,0.84616,0,0,1,1000,1.3863,2.735e+05,0,7.447e+08,92.939,7.7571e+06,0.56686,3.4339,0.91756,43218,15,43218
4.5733e+06,0.61959,0,0,1,1000,1.3863,2.4312e+05,0,4.4681e+08,0.02801,5.3283e+06,2.5382,3.7638,0.79841,22131,16,22131
3.5467e+06,1,0.31099,124.66,1,1000,1.3863,3.4011e+05,0,8.7595e+08,12.441,1.9476e+06,2.9232,5,3,9584.7,17,9584.7
