mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9356e+05,0.3,0.069986,0.59936,1,1000,1.3863,2.7522e+05,0.025282,1.0974e+05,91.268,1278.5,0.35335,0.49929,0.96608,18908,1,18908
2.8553e+05,0.3,0.08325,0.35079,1,1000,1.3863,2.2554e+05,0.017733,8.3826e+05,44.253,786.82,0.37542,0.48443,0.61831,38848,2,38848
2.5093e+05,0.3,0.1028,0.24594,1,1000,1.3863,2.8266e+05,0.15012,2.076e+05,99.899,1458,0.20057,0.41236,0.86732,24597,3,24597
3.597e+05,0.3,0.08325,0.21857,1,1000,1.3863,2.0329e+05,0.010773,8.0506e+05,32.869,1300.2,0.33541,0.31479,0.83689,24717,4,24718
4.9856e+05,0.3,0.065534,0.0022803,1,1000,1.3863,2.9747e+05,0.023938,5.8702e+05,27.97,1169.8,0.30191,0.27901,0.72783,50678,5,50678
3.773e+05,0.3,0.08325,0.043946,1,1000,1.3863,2.8023e+05,0.084845,7.2886e+05,43.237,1498.3,0.34951,0.4427,0.70695,30923,6,30923
4.9827e+05,0.3,0.11099,0.59855,1,1000,1.3863,2.0392e+05,0.19011,7.6367e+05,67.894,807.01,0.42044,0.27633,0.85806,7.6612e+05,7,7.6613e+05
4.9864e+05,0.3,0.00094765,0.40531,1,1000,1.3863,2.935e+05,0.012154,2.3179e+05,97.127,231.59,0.49919,0.49988,0.99396,55921,8,55921
3.628e+05,0.3,0.083949,0.25829,1,1000,1.3863,2.0515e+05,0.061222,5.8019e+05,0.40046,358.28,0.3558,0.47008,0.76285,49053,9,49053
2.5852e+05,0.3,0.088598,0.11991,1,1000,1.3863,2.4785e+05,0.057534,3.6909e+05,99.999,849.11,0.40195,0.26652,0.71064,28968,10,28968
3.6289e+05,0.3,8.9174e-06,0.068269,1,1000,1.3863,2.0086e+05,0.014194,1.1017e+05,69.49,724.65,0.4,0.5,0.73286,12022,11,12022
5.7284e+05,0.3,0.085642,0.41141,1,1000,1.3863,2.8569e+05,0.0086321,6.9163e+05,99.998,1521.3,0.39585,0.28133,0.69038,81843,12,81843
3.2211e+05,0.3,0.16887,0.19825,1,1000,1.3863,2.3781e+05,1.0793e-06,1.6216e+05,87.466,1511.7,0.4,0.41641,0.99993,14258,13,14258
