mu,z,g,alpha,c,epsilon,b_R,beta,a,b_T,e_T,e_R,kA,j,kB,n,d,f,Error,EntryNumber
3.1654e+05,0.03515,0.03,3069.6,0.36628,0.25,0.5,2.2566,0,0.2698,100,2000,35520,8.4222e-06,40000,0.2111,1000,1.3863,26306,1
3.1654e+05,0.049332,0.03,3069.6,0.4849,0.25,0.5,2.9305,0,0.2698,100,2000,1.2707e+05,6.2067e-06,40000,0.48538,1000,1.3863,25702,2
7.9962e+05,0.049332,0.03,3069.6,0.47033,0.25,0.5,2.8643,0,0.2698,100,2000,1.2707e+05,6.2067e-06,40000,0.48538,1000,1.3863,1.439e+05,3
8.0149e+05,0.04268,0.03,3069.6,0.049748,0.25,0.5,0.6386,0,0.2698,100,2000,5.8531e+05,6.2067e-06,40000,0.77917,1000,1.3863,1.6452e+05,4
4.8854e+05,0.0431,0.03,3069.6,0.077333,0.25,0.5,0.53885,0,0.2698,100,2000,12001,6.2067e-06,40000,0.2682,1000,1.3863,58538,5
4.178e+05,0.0431,0.03,3069.6,0.0292,0.25,0.5,0.44429,0,0.2698,100,2000,12001,6.2067e-06,40000,0.2682,1000,1.3863,50521,6
2.5669e+05,0.0431,0.03,3069.6,0.0292,0.25,0.5,0.76868,0.15037,0.2698,100,2000,4.0626e+05,6.2067e-06,40000,0.2682,1000,1.3863,9867.2,7
3.3956e+05,0.059047,0.03,3069.6,0.0292,0.25,0.5,0.51222,0.08,0.2698,100,2000,4.4871e+05,2.9788e-06,40000,1,1000,1.3863,2686.6,8
3.3956e+05,0.059,0.03,3069.6,0.0292,0.25,0.5,0.5122,0.08,0.2698,100,346.91,4.4871e+05,2.9788e-06,40000,1,1000,1.3863,3380.6,9
3.3956e+05,0.059,0.03,3069.6,0.042035,0.25,0.3,0.5122,0.08,0.2698,100,393.98,4.4871e+05,2.9788e-06,5.3064,1,1000,1.3863,9030.6,10
3.3956e+05,0.059,0.03,3069.6,0.0426,0.25,0.7986,0.5122,0.08,0.2698,100,393,4.4871e+05,2.9788e-06,3.9328,1,1000,1.3863,9041.4,11
