alpha,Thy,Thy_max,epsilon,a,c,b_R,mu,beta,g,b_T,d,e_T,e_R,f,kA,n,EntryNumber,Notes,Naive,Activated,Treg,IL2,PreviousPset
0.006,1,1,1,0.1,0.01,0.1,60,10,0.01,0.1,0.01,0.01,0.01,1,10,1,0,1,220,9500,400,0.9,0
0.006,1,1,1,0.1,0.01,0.1,750,10,0.01,0.1,0.01,0.01,0.01,1,10,1,1,1,19616.091,9981.461,5474.285,0.642,0
0.006,1,1,1,0.1,0.01,0.1,1000,10,0.01,0.1,0.01,0.01,0.01,1,10,1,2,1,29218.357,9985.57,7019.848,0.584,1
0.006,1,1,1,0.1,0.01,0.1,298.254,10,0.01,0.1,0.01,0.01,0.01,1,10,1,3,1,4871.336,9957.547,2415.635,0.798,0
0.006,1,1,1,0.1,0.01,0.1,298.254,6.938,0.01,0.1,0.01,0.01,0.01,1,10,1,4,1,5977.524,6907.411,2310.719,0.741,3
664,1,1,0.0328,1.102,11184,126,1243,289,126,126,1000,3000,8000,0.1,10,1,5,1,200,50000,100,10000,4
664,1,1,0.0328,1.102,598,55,12427,289,126,126,1000,3000,8000,0.1,10,1,6,1,200,50000,100,10000,5
664,1,1,0.0328,1.102,598,55,12427,100,126,126,50000,3000,8000,0.1,10,1,7,1,200,50000,100,10000,6
664,1,1,0.2314,1.102,0,55,12427,100,126,20,5000,300,800,0.1,10,1,8,1,200,5000,100,90000,7
0,1,1,0,0.09,0,0,12427,100,126,20,500,300,800,0.1,1,1,9,1,10000,5000,0,1000,8
0,1,1,0,0.09,0,0,9363,0.01,0.01,20,500,300,800,0.1,1,0,10,1,10000,5000,0,1000,9
0,1,1,0,0,0,0,4814,1,9.46E-19,1.9784,500,300,0,0.1,1,0,11,1,10000,3000,0,0.642,10
0,1,1,0,0,0,0,4814,1,9.46E-19,1.9784,500,300,0,0.1,1,0,12,1,10000,3000,0,0.642,11
0,1,1,0,0,0,0,4814,0.00055731,9.46E-19,4.6144E-05,500,300,0,0.1,1,0,13,1,10000,3000,0,0.642,12
0,1,1,0,0,0,0,4814,0.00055731,9.46E-19,4.6144E-05,500,300,0,0.1,1,0,14,1,10000,3000,0,0.642,11
542.8407,1,1,0,0,0,0,4814,0.00055731,9.46E-19,4.6144E-05,500,300,0,0.1,1,0,15,1,10000,3000,0,0.642,14
217911.8588,1,1,0,0,0,0,1688320.5358,0.00055731,9.46E-19,4.6144E-05,500,300,0,0.1,1,0,16,1,10000,3000,0,0.642,15
217911.8588,1,1,0,0,0,2.64E-12,1688320.5358,0.00055731,2.64E-12,1.43E-05,500,300,0,0.1,1,0,17,1,10000,3000,0,0.642,16
0,1,1,0,0,0.00036241,0,4985030.4919,0.0023966,0,1.43E-05,500,300,0,0.1,1,0,18,1,10000,3000,0,0.642,17
0,1,1,0,0,0.00036241,2.64E-12,4985030.4919,0.0023966,2.64E-12,1.43E-05,500,300,0,0.1,1,0,19,1,10000,3000,0,0.642,18
0,1,1,0,0,0.00056013,2.64E-12,4985030.6471,0.0022353,2.6416E-12,2.0207E-05,500,300,0,0.1,1,0,20,1,10000,3000,0,0.642,19
4.4807,1,1,0,0,0.00056013,0.0021597,2920175.4181,0.0022353,1.11E-05,0.0028774,500,300,0,0.1,1,0,21,1,10000,3000,0,0.642,20
3.01,1,1,0.6,4.5E-05,0.00056013,0.0021597,2920175.4181,0.0022353,1.11E-05,0.0028774,1000,0.99,0.99,1000,200000000,1,22,1,10000,3000,300,0.642,21
3.0112,1,1,0.6,7.53E-07,0.00056013,0.0021597,2920175.4181,0.0022353,1.11E-05,0.0028783,1000,0.0049456,1.6782,1000,10000,1,23,1,10000,3000,300,0.642,22
4,1,1,0.6,1E-06,0.00056013,0.0021597,2920175.4181,0.0014984,1.11E-05,1.49E-18,1000,4.81E-07,0.12892,1000,4410.7704,1,24,1,10000,3000,300,0.642,23
0.083875,1,1,0.6,9.92E-09,0.00056013,0.0021597,2920175.4181,0.0014984,1.11E-05,6.78E-07,1000,2.86E-05,9.4471,1000,999767.0873,1,25,1,10000,3000,300,0.642,22
3.006,1,1,0.6,4.51E-09,0.00056013,0.0021597,2920175.4181,0.0014984,1.11E-05,2.57E-03,1000,9.65E-01,1.0806,1000,999999.01,1,26,1,10000,3000,300,0.642,22
3.4394,1,1,0.6,9.98E-09,0.00056013,0.0021597,2920175.4181,0.0014984,1.11E-05,3.31E-03,1000,1.01E-03,1.7603,1000,199987412.4553,1,27,1,10000,3000,300,0.642,22
1.9203,1,1,0.6,9.99E-08,0.00056013,0.0021597,2920175.4181,0.0014984,1.11E-05,1.22E-02,1000,1.22E-02,7.10E-06,1000,2.00E+08,1,28,1,10000,3000,300,0.642,22
