mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,3.1591e+05,1.172e-12,8.4914e+08,9.678e+05,8.2339e+06,0.94936,3.6435e+05,1.3606e+05,9.1776e+13,1,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,467.87,5.8389e-11,9.5717e+08,8.2519e+06,9.6701e+06,0.9494,93387,5e+05,9.1776e+13,2,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,3.5933e+05,2.8796e-08,9.5022e+08,1.8687e+06,4.8972e+06,0.94939,4.6721e+05,5e+05,9.1776e+13,3,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,90581,2.2313e-11,7.0938e+08,1.1798e+06,4.9957e+06,0.94938,3.9452e+05,4.1555e+05,9.1776e+13,4,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,5e+05,8.9397e-09,5.8528e+08,8.9135e+06,9.5917e+06,0.94937,2.1798e+05,3.6757e+05,9.1776e+13,5,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.9892e+05,1.4988e-11,1.4933e+08,1.6261e+06,2.1946e+06,0.95148,4.2378e+05,2.0189,9.1049e+13,6,9.1049e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,3.0985e+05,2.8334e-11,3.5169e+08,3.7834e+06,5.6713e+06,0.94938,4.7666e+05,4.3628e+05,9.1776e+13,7,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.9944e+05,2.9266e-08,5.3082e+08,83064,3.5526e+06,0.51546,2.6329e+05,1392.7,1.7344e+14,8,1.7344e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1.1716e+05,2.9266e-08,3.1124e+08,6.861e+06,7.4493e+06,0.94936,1.9957e+05,2.3915e+05,9.1776e+13,9,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,94212,2.924e-08,2.2901e+08,7.6488e+05,4.4302e+06,0.94939,2.2956e+05,4.0964e+05,9.1776e+13,10,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,66855,1.424e-10,4.6737e+06,2.5957e+06,8.0007e+06,0.9515,0.0069992,3.2602e+05,8.8433e+13,11,8.8433e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4968.9,2.9266e-08,1.8189e+08,1.4077e+06,5.0127e+06,0.94938,2.7047e+05,5e+05,9.1776e+13,12,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.4004e+05,4.8714e-09,3.3775e+08,2.4152e+06,4.0414e+06,0.94933,5e+05,1.6858e+05,9.1776e+13,13,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,76613,2.9263e-08,9.4205e+08,5.9813e+05,1.672e+06,0.26768,4.9989e+05,972.23,8.2716e+14,14,8.2716e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.9916e+05,1.7605e-08,6.4776e+08,3.612e+06,6.2056e+06,0.9503,25510,542.5,9.1769e+13,15,9.1769e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,3.8778e+05,2.5894e-09,9.2939e+08,5.1077e+06,5.1077e+06,0.94366,2.2035e+05,1.5414e+05,9.178e+13,16,9.178e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.7302e+05,2.9027e-08,6.4433e+08,2.0931e+06,3.0231e+06,0.94203,440.42,4.9964e+05,9.1782e+13,17,9.1782e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.9751e+05,6.7536e-09,8.4432e+08,3.0849e+06,9.2427e+06,0.62931,41576,1.0852e+05,1.2168e+14,18,1.2168e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.3023e+05,5.3719e-09,9.0488e+08,6.0449e+06,7.1171e+06,0.42979,645.16,3.562e+05,2.5961e+14,19,2.5961e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1.1444e+05,2.9265e-08,2.967e+08,4.8835e+06,5.7849e+06,0.94941,73662,1.2533e+05,9.1776e+13,20,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,42245,2.9266e-08,9.6309e+08,3.9852e+06,9.9121e+06,0.94938,1.3884e+05,5e+05,9.1776e+13,21,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.0964e+05,2.9266e-08,9.1329e+08,1.2586e+06,7.1902e+06,0.94938,1.8967e+05,4.3333e+05,9.1776e+13,22,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,40629,2.9263e-08,4.9419e+08,3.0379e+05,7.4409e+06,0.94939,4.4645e+05,1.5645e+05,9.1776e+13,23,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.4821e+05,1.7721e-09,9.0473e+08,1.8371e+06,2.3999e+06,0.94939,4.1681e+05,2.9776e+05,9.1776e+13,24,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.3857e+05,2.8989e-08,4.8992e+08,7.0596e+05,6.8187e+06,0.94939,3.4349e+05,2.6576e+05,9.1776e+13,25,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.821e+05,7.1663e-09,5.2167e+08,4.3304e+06,8.2572e+06,0.94951,4.2481e+05,99984,9.1776e+13,26,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,208.65,3.6745e-09,1.7342e+08,2.9188e+06,4.3161e+06,0.94938,18166,2.1071e+05,9.1776e+13,27,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,43546,1.5057e-08,1.672e+08,1.056e+06,7.3769e+06,0.82811,1.9391e+05,837.05,9.4263e+13,28,9.4263e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.2089e+05,2.9265e-08,5.4789e+08,3.8154e+05,5.6147e+06,0.94941,3.1746e+05,3.7114e+05,9.1776e+13,29,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1944.7,5.8312e-13,1.9047e+08,1.7989e+06,4.2554e+06,0.9494,58712,1.2728e+05,9.1776e+13,30,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,40854,2.9265e-08,5.8952e+08,8.2808e+06,9.814e+06,0.94942,1.2387e+05,1.7546e+05,9.1776e+13,31,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.0746e+05,2.8098e-08,5.8409e+08,1.6241e+06,1.8057e+06,0.94938,4.9857e+05,2.3802e+05,9.1776e+13,32,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.0343e+05,9.3493e-13,5.9854e+08,6.9224e+05,3.1703e+06,0.94949,3.2222e+05,16878,9.1775e+13,33,9.1775e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.706e+05,2.918e-08,4.0764e+08,1.0573e+06,6.1093e+06,0.94924,2.6996e+05,1.7321e+05,9.1776e+13,34,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,3.8567e+05,1.4226e-08,9.0859e+07,4.6111e+06,8.7566e+06,0.94957,67682,4.9999e+05,9.1776e+13,35,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,66940,2.9124e-08,6.3776e+08,6.7408e+06,9.9885e+06,0.94983,6.5975,2.2869e+05,9.1766e+13,36,9.1766e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1.7223e+05,2.2843e-08,6.7534e+08,4.6092e+06,7.7016e+06,0.95611,4.5798e+05,570.46,9.1779e+13,37,9.1779e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.3215e+05,2.1637e-08,4.7138e+08,3.4165e+06,6.0716e+06,0.91744,1.297e+05,0.95765,9.1187e+13,38,9.1188e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1.0487,3.4168e-10,2.4357e+08,2.1485e+05,9.9788e+06,0.96156,0.0015402,4.2832e+05,8.8374e+13,39,8.8374e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,3.3079e+05,2.4325e-10,4.2575e+08,2.0473e+06,7.0941e+06,0.94938,4.8629e+05,4.1052e+05,9.1776e+13,40,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1.7272e+05,2.9176e-08,6.0732e+08,2.5442e+06,6.1336e+06,0.94944,1.9398e+05,1.4842e+05,9.1776e+13,41,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,5e+05,2.7699e-08,8.6995e+08,5.0718e+06,6.37e+06,0.94937,3.4868e+05,3.7797e+05,9.1776e+13,42,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,93918,5.892e-13,5.439e+08,4.1645e+06,4.5568e+06,0.9493,2.6334e+05,6901,9.1775e+13,43,9.1775e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,1.3547e+05,4.9653e-13,6.2791e+08,5.2434e+06,5.3026e+06,0.94869,2.4932e+05,564.88,9.1774e+13,44,9.1774e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.3791e+05,2.9228e-08,3.9348e+08,4.4318e+05,7.5497e+06,0.94407,1.8561e+05,57754,9.1779e+13,45,9.1779e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,5e+05,2.9265e-08,6.8781e+08,3.3036e+06,4.2462e+06,0.94938,4.4175e+05,2.1218e+05,9.1776e+13,46,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,72846,2.9265e-08,8.2173e+08,7.6693e+06,9.6795e+06,0.94938,2.4397e+05,2.7571e+05,9.1776e+13,47,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,83458,2.7288e-08,4.3867e+08,5.5508e+06,8.7927e+06,0.94938,4.0438e+05,4.1511e+05,9.1776e+13,48,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.9986e+05,2.9199e-08,1.9989e+08,1.1157e+06,1.3633e+06,0.94938,3.9587e+05,1.4736e+05,9.1776e+13,49,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,5e+05,2.6755e-14,1.8956e+08,3.6067e+06,1e+07,0.94939,3.2507e+05,4.8304e+05,9.1776e+13,50,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.4182e+05,2.899e-08,5.5547e+05,5.0046e+06,9.0261e+06,0.95073,2.6376e+05,2.4661e+05,9.1776e+13,51,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.8733e+05,2.4735e-08,7.3865e+08,6.6094e+06,7.2975e+06,0.99833,41741,3.1298e+05,9.2055e+13,52,9.2055e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.4538e+05,2.8748e-08,7.6904e+08,5.5229e+06,6.2988e+06,0.58009,8491.5,60430,1.3857e+14,53,1.3857e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.9983e+05,1.1158e-12,3.6107e+08,1.8799e+06,1.9648e+06,0.94938,40750,5e+05,9.1776e+13,54,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.9976e+05,9.3812e-09,2.819e+08,1.2651e+06,4.8515e+06,0.98474,2.6521e+05,7.0469,9.1558e+13,55,9.1558e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,2.2996e+05,2.8037e-12,2.7032e+08,1.0322e+06,1.3855e+06,0.94553,977.56,1.6861e+05,9.1777e+13,56,9.1777e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,92750,8.1384e-11,5.7373e+08,8.6043e+06,9.3446e+06,0.9495,3.6702e+05,26766,9.1776e+13,57,9.1776e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,4.999e+05,2.5047e-08,7.8557e+08,2.9555e+06,3.3295e+06,0.95357,87273,6607.7,9.1777e+13,58,9.1777e+13
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1.3863,69873,2.9262e-08,2.5268e+07,2360.5,1.3888e+06,0.94998,3.4087e+05,5.3865,9.1697e+13,59,9.1697e+13
