mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
4.0016e+06,0.78826,0.66907,0.25945,1,1000,1.3863,4.9766e+05,858.01,4.6823e+08,97.921,6.0188e+06,0.39963,4.9931,2.6821,73058,1,73058
3.5906e+06,0.85722,0.64245,357.63,1,1000,1.3863,99252,6567.6,6.9837e+08,25.075,9.3761e+06,0.32834,1.2193,2.9955,1.5614e+09,2,1.5614e+09
4.2358e+06,0.47324,0.45172,1.1381,1,1000,1.3863,3.276e+05,7673.5,8.1087e+08,0.42475,4.5307e+06,0.14501,2.0724,2.0036,1.247e+06,3,1.247e+06
3.2169e+06,0.75796,0.45031,42.006,1,1000,1.3863,1.9738e+05,9616,8.2173e+06,11.913,4.3137e+05,1.1953,2.4389,2.01,7.1388e+08,4,7.1388e+08
3.9231e+06,0.64679,0.45031,403.47,1,1000,1.3863,82779,5111.1,8.6727e+08,32.35,9.091e+06,2.2988,0.67475,0.3246,4.9056e+10,5,4.9056e+10
4.8736e+06,0.33392,0.99725,397.03,1,1000,1.3863,2.2517e+05,7486.4,1.8529e+08,43.9,3.2567e+06,0.63509,0.81128,2.8616,7.4588e+09,6,7.4588e+09
3.5797e+06,0.34797,0.0017603,391.1,1,1000,1.3863,44966,8103.2,3.9958e+08,63.604,8.0185e+06,2.9991,3.126,0.028791,7.8648e+10,7,7.8648e+10
3.725e+06,0.33447,0.49762,3.3865,1,1000,1.3863,2.8058e+05,1.4286,7.9355e+08,1.8935,2.2917e+06,2.3765,1.0829,2.9999,18899,8,18899
3.8519e+06,0.73246,0.45031,116.27,1,1000,1.3863,46127,2409.8,9.0257e+08,66.588,2.6768e+06,0.65204,2.3976,2.01,1.4e+08,9,1.4e+08
3.4921e+06,0.4326,0.76324,278.48,1,1000,1.3863,2.1136e+05,39.972,9.3232e+08,97.656,8.6603e+05,2.9921,2.5135,2.2323,1.8194e+05,10,1.8195e+05
2.9373e+06,0.5083,0.35318,0.0014295,1,1000,1.3863,4.6342e+05,1659.1,1.6051e+08,10.034,9.9625e+05,1.6811,3.0447,1.8254,34557,11,34557
3.3196e+06,0.71657,0.49492,599.99,1,1000,1.3863,3.93e+05,10.555,4.5239e+08,51.863,2.3597e+06,1.2795,1.8854,2.7387,1.0872e+05,12,1.0872e+05
3.6115e+06,0.9918,0.44966,133.24,1,1000,1.3863,1.361e+05,0.0021671,9.2828e+08,1.6863,6.6996e+06,1.5527,2.3036,2.5294,23958,13,23958
4.9028e+06,0.95905,0.93258,0.51538,1,1000,1.3863,3.978e+05,2961,2.8394e+08,96.197,9.3169e+06,2.9634,2.9273,2.9968,35550,14,35550
4.9815e+06,0.99927,0.99979,599.88,1,1000,1.3863,1.7363e+05,3888.5,4.4162e+08,9.7103e-05,1.2468e+06,2.9822,2.7332,1.3096,2.2101e+10,15,2.2101e+10
3.6198e+06,0.91519,0.54763,164.91,1,1000,1.3863,2.3218e+05,7425.9,6.734e+08,8.0208,8.6558e+06,2.7435,3.4644,2.995,1.4896e+07,16,1.4896e+07
3.9936e+06,0.49254,0.25796,1.324,1,1000,1.3863,2.1769e+05,1684.5,4.3355e+06,0.57753,1.7144e+06,1.7554,1.7392,1.8843,1.5041e+05,17,1.5041e+05
4.2877e+06,0.3,0.73337,75.832,1,1000,1.3863,1.5337e+05,14.019,5.8091e+08,59.555,3.8464e+05,3,4.9883,3,20265,18,20265
4.9649e+06,0.30068,0.03337,25.828,1,1000,1.3863,1.1353e+05,61.078,6.4285e+08,100,7.1295e+06,2.389,2.1493,1.5673,9083.4,19,9083.4
4.8882e+06,0.7549,0.99725,185.54,1,1000,1.3863,1.2993e+05,1146.9,5.4969e+08,31.035,1.5521e+06,1.4213,1.3768,2.3173,3.0476e+08,20,3.0476e+08
3.8086e+06,0.94424,0.45031,494.14,1,1000,1.3863,4.9704e+05,4502.4,5.4524e+08,87.083,3.5281e+06,0.78699,4.4127,0.51531,1.9639e+10,21,1.9639e+10
4.8316e+06,0.51924,0.80773,38.392,1,1000,1.3863,2.462e+05,6072.1,9.1152e+08,0.39046,3.2746e+06,1.601,0.13077,1.8662,1.2792e+10,22,1.2792e+10
4.225e+06,0.99863,0.33832,318.07,1,1000,1.3863,47631,4416.8,2.9115e+07,84.712,7.0195e+06,2.9952,2.9492,2.0515,8.7949e+07,23,8.7949e+07
3.545e+06,0.30008,0.84319,250.79,1,1000,1.3863,1.9636e+05,3923.2,2.498e+08,0.42558,6.5595e+06,2.9946,4.9915,1.1841,6.4241e+06,24,6.4241e+06
4.6222e+06,0.53604,0.45247,0.6887,1,1000,1.3863,4.2827e+05,2579.3,8.9595e+08,16.726,8.3185e+06,0.57669,4.8211,1.7467,1.4257e+05,25,1.4257e+05
4.1623e+06,0.93719,0.44293,0.015592,1,1000,1.3863,1.9723e+05,839.33,2.6542e+08,16.111,5.1677e+06,2.3902,4.4162,2.9992,12398,26,12399
3.1897e+06,0.3,0.99974,285.27,1,1000,1.3863,3.2008e+05,8689.4,6.0013e+08,48.039,3.2578e+06,2.9991,3.6231,2.9883,3.1289e+07,27,3.1289e+07
3.6751e+06,0.6911,0.45031,596.26,1,1000,1.3863,3.9529e+05,5460.1,2.3059e+08,25.988,8.3248e+06,2.0603,0.24541,2.863,1.3181e+10,28,1.3181e+10
3.4475e+06,0.66354,0.62049,599.93,1,1000,1.3863,95951,2731.4,2.7966e+08,99.899,9.1577e+06,0.012701,4.9942,1.9941,1.2493e+08,29,1.2493e+08
3.9363e+06,0.64432,0.056132,0.028327,1,1000,1.3863,44362,0.78676,8.5832e+08,3.4682e-07,8.244e+06,0.018878,5,2.475,28912,30,28912
4.643e+06,0.93552,0.51899,5.8551,1,1000,1.3863,86531,8636.4,9.2606e+08,24.359,5.8923e+06,0.75946,0.0012673,2.7422,3.989e+22,31,1.2314e+23
3.3793e+06,0.88245,0.99728,0.41915,1,1000,1.3863,1.6995e+05,1810.2,2.4606e+08,96.347,9.3581e+06,2.998,2.5265,2.7943,18351,32,18351
3.5349e+06,0.30126,0.97599,531.41,1,1000,1.3863,2.1324e+05,6051.6,9.6959e+08,49.278,2.0714e+06,1.0983,4.991,2.993,2.6713e+08,33,2.6713e+08
3.7955e+06,0.33048,0.99979,599.95,1,1000,1.3863,13782,209.79,3.0237e+08,1.2264,4.3739e+06,0.59591,3.8353,3,6.4488e+05,34,6.4488e+05
4.7688e+06,0.9976,0.99725,287.76,1,1000,1.3863,4.2999e+05,89.081,9.9603e+08,16.962,7.3129e+06,1.6612,0.35282,2.0608,6.7053e+06,35,6.7053e+06
4.8045e+06,0.63365,0.45031,320.83,1,1000,1.3863,1.2331e+05,818.41,8.5291e+08,2.385,1.2872e+06,2.0597,4.7906,2.01,5.3316e+07,36,5.3316e+07
4.3544e+06,0.66427,0.45031,34.048,1,1000,1.3863,3.7032e+05,3910.2,3.9365e+08,40.626,4.3021e+06,1.8055,0.11943,1.9384,4.5942e+09,37,4.5942e+09
3.4459e+06,0.97392,0.247,3.3011,1,1000,1.3863,3.2966e+05,1964.4,8.1125e+07,11.186,7.0241e+06,1.5884,4.998,2.5359,20090,38,20090
3.6207e+06,0.40882,0.45031,574.39,1,1000,1.3863,4.3925e+05,7110.1,6.6109e+08,55.448,2.9752e+05,1.3187,2.814,2.01,1.678e+11,39,1.678e+11
3.275e+06,0.30166,0.99796,276.29,1,1000,1.3863,4.3335e+05,8944.1,4.9721e+08,18.951,9.3967e+06,2.9967,4.9986,2.4277,3.689e+06,40,3.689e+06
3.5962e+06,0.39239,0.45964,0.20213,1,1000,1.3863,66.344,3929.2,1.1206e+07,0.72308,3.2402e+06,0.84105,4.9714,2.9996,19199,41,19199
4.5942e+06,0.38164,0.0040092,14,1,1000,1.3863,2.6074e+05,4789.6,6.6899e+08,99.968,5.5526e+06,2.9947,1.9637,2.9973,2.0374e+05,42,2.0374e+05
3.5936e+06,0.88708,0.46716,1.0594,1,1000,1.3863,1.2753e+05,1106.8,5.8912e+08,100,2.6502e+06,2.8829,3.1033,3,13038,43,13038
