A,X,Unnamed0,Print_Alone,PrintNumber,FileNumber,FileID,BatchFile,Initials,Organ,CageNumber,Tag,TagNumber,DOB,Sex,Age,Genotype,MouseWeight,OrganWeight,TotalLiveCountInMillions,All_Event,AllCells_events,LiveCells_events,Singlets1_events,Singlets2_events,pCD4_events,pCD8_events,pDP_events,pDN_events,CD4_events,CD8_events,Bcells_events,TCRb_events,x4Tregs_events,x8Tregs_events,DN_events,DP_events,CD4prol_events,CD8Prol_events,BcellProl_events,x4tregProl_events,x8tregsProl,DPprol_events,DNProl_events,intage,hours,Bratio,CD4Ratio,CD8Ratio,DPRatio,DNRatio,X4TregRatio,X8TregRatio,TCRbRatio,CD4ProlRatio,CD8ProlRatio,BProlRatio,X4TregProlRatio,X8TregProlRatio,Bct,CD4CT,CD8ct,DPct,DNct,X4TregCT,X4Treg_Cells,X8TregCT,TCRbCT,CD4ProlCT,CD8ProlCT,BprolCT,X4TregProlCT,X8TregProlCT,ActivatedCD4CT(10xx6),NaiveT_CT(10xx6),NaiveT_Cells,Activated_Cells
50,55,56,NA,1,116,KV053118D0WTS_T2,1_116_KV053118D0WTS_T2.fcs compensated,KV,Spleen,NA,0,2,5/31/2018,,1,WT,1.314,0.003,1.325,49588,25564,24886,24178,23558,345,47,454,22591,200,7,3232,170,186,0,115,425,197,6,2881,186,0,391,94,1,1,0.137193310128194,0.014644706681382,0.001995075982681,0.019271585024196,0.004881568893794,0.93,0,0.007216232277782,0.985,0.857142857142857,0.891398514851485,1,NA,0.181781135919857,0.019404236352831,0.002643475677052,0.025534850157059,0.006468078784277,0.018045939808133,18045.939808133,0,0.009561507768062,0.019113172807539,0.002265836294616,0.162039434586977,0.018045939808133,NA,0.003818753714237,0.015585482638594,15585.4826385941,3818.753714237
52,57,58,NA,3,120,KV053118D0WTS_T5,3_120_KV053118D0WTS_T5.fcs compensated,KV,Spleen,NA,0,5,5/31/2018,,1,WT,1.277,0.002,0.95,29139,8475,8021,7700,7496,477,33,410,6422,307,4,941,60,298,0,79,399,305,4,916,297,0,398,77,1,1,0.125533617929562,0.06363393810032,0.00440234791889,0.054695837780149,0.010538954108858,0.970684039087948,0,0.008004268943437,0.993485342019544,1,0.973432518597237,0.996644295302013,NA,0.119256937033084,0.060452241195304,0.004182230522946,0.051961045891142,0.010012006403415,0.058680025655377,58680.025655377,0,0.007604055496265,0.060058415519765,0.004182230522946,0.116088580576307,0.058483112817607,NA,0.011897001067236,0.048555240128068,48555.2401280683,11897.001067236
54,59,60,NA,5,124,KV053118D0WTS_T6,5_124_KV053118D0WTS_T6.fcs compensated,KV,Spleen,NA,0,6,5/31/2018,,1,WT,1.377,0.0009,0.665,61881,27257,26491,25658,24980,1426,73,350,22810,879,31,2746,735,866,21,613,341,876,31,2691,865,21,341,590,1,1,0.109927942353883,0.057085668534828,0.002922337870296,0.014011208967174,0.024539631705364,0.985210466439135,0.67741935483871,0.029423538831065,0.996587030716723,1,0.979970866715222,0.998845265588915,1,0.073102081665332,0.037961969575661,0.001943354683747,0.009317453963171,0.016318855084067,0.037400529752585,37400.529752585,0.001316466076087,0.019566653322658,0.037832406539566,0.001943354683747,0.071637910328263,0.037357342073887,0.001316466076087,0.00747091561249,0.030491053963171,30491.0539631705,7470.91561249
56,61,62,NA,7,128,KV060818D0WTS_T2,7_128_KV060818D0WTS_T2.fcs compensated,KV,Spleen,NA,0,2,6/8/2018,,1,WT,1.442,0.003,0.33,22550,4858,4695,4607,4184,82,3,15,4012,50,1,500,146,39,0,32,14,48,1,456,39,0,13,30,1,1,0.119502868068834,0.019598470363289,0.000717017208413,0.003585086042065,0.007648183556405,0.78,0,0.034894837476099,0.96,1,0.912,1,NA,0.039435946462715,0.006467495219885,0.000236615678776,0.001183078393881,0.002523900573614,0.005044646271511,5044.646271511,0,0.011515296367113,0.00620879541109,0.000236615678776,0.035965583173996,0.005044646271511,NA,0.001272803059273,0.005194692160612,5194.69216061186,1272.803059273
36,41,42,NA,9,88,GM042718D4WTS,9_88_GM042718D4WTS.fcs compensated,GM,Spleen,1307,0,2,4/23/2018,,4,WT,2.4,0.013,11.5,538608,302612,289484,281555,260842,5269,2426,25613,223420,5060,2103,83512,9763,119,4,7166,24418,3639,1781,65589,50,1,23479,6186,4,96,0.320163163907653,0.020199967796597,0.00930064943529,0.098193542450986,0.027472569601521,0.023517786561265,0.00190204469805,0.037428788308631,0.719169960474308,0.846885401806942,0.785384136411534,0.420168067226891,0.25,3.68187638493801,0.232299629660867,0.106957468505839,1.12922573818634,0.315934550417494,0.005463173108625,5463.173108625,0.000203437885888,0.43043106554926,0.167062915481403,0.090580718691821,2.89168730495856,0.002295450885977,5.08594714721059E-05,0.022122668064703,0.210176961596164,210176.961596164,22122.668064703
46,51,52,NA,11,108,AD052218D4WTS_T2,11_108_AD052218D4WTS_T2.fcs compensated,AD,Spleen,1372,0,2,,,4,WT,2.9,0.027,4.8,631926,500521,489568,471063,457170,7798,3099,236,443831,7551,2948,182210,15353,220,0,260,206,4008,2029,125941,93,0,155,108,4,96,0.398560710457817,0.017057112233961,0.006778660017061,0.000516219349476,0.000568716232474,0.029135213878956,0,0.033582693527572,0.530790623758443,0.688263229308005,0.691185994182537,0.422727272727273,NA,1.91309141019752,0.081874138723013,0.032537568081895,0.002477852877485,0.002729837915874,0.00238542054285,2385.42054285,0,0.161196928932345,0.043458025162474,0.022394411681874,1.32230198831944,0.001008382320387,NA,0.007797147144388,0.074076991578625,74076.991578625,7797.147144388
48,53,54,NA,13,112,AD052218D4WTS_T3,13_112_AD052218D4WTS_T3.fcs compensated,AD,Spleen,1372,0,3,,,4,WT,2.9,0.027,5.45,934998,749203,730455,700513,675902,7346,2889,266,662635,6840,2752,189312,18422,122,0,633,230,3402,1922,118384,59,0,189,199,4,96,0.280087941743034,0.010868439507503,0.004274288284396,0.000393548177103,0.00093652630115,0.017836257309942,0,0.027255430520993,0.497368421052632,0.698401162790698,0.625338066260987,0.483606557377049,NA,1.52647928249953,0.059232995315889,0.02329487114996,0.002144837565209,0.005104068341268,0.001056494945693,1056.494945693,0,0.14854209633941,0.029460621354482,0.016269165098191,0.954565602705718,0.000510927883573,NA,0.00564095558725,0.053592039728639,53592.0397286392,5640.95558725
13,16,17,NA,15,38,GM030918D7WTS,15_38_GM030918D7WTS.fcs compensated,GM,Spleen,8813,0,6,3/2/2018,,7,WT,3.3,0.019,7.5,717831,483022,469448,456828,433418,23366,8910,1177,394730,22219,8303,144428,34225,1188,43,169,184,3538,2038,41690,495,10,60,44,7,168,0.333230276545967,0.053911005080546,0.020557521838041,0.002715623255149,0.000389923814885,0.05346775282416,0.005178851017704,0.078965340618064,0.159233088797876,0.245453450560039,0.28865593929155,0.416666666666667,0.232558139534884,2.49922707409475,0.404332538104094,0.154181413785307,0.020367174413615,0.00292442861164,0.021618752206115,21618.752206115,0.000798482571693,0.592240054635479,0.0643831189438,0.037844360025829,0.721416738575694,0.009007813419214,0.000185693621324,0.021017755222903,0.383314782881191,383314.782881191,21017.755222903
32,37,38,NA,17,80,JA042618D7WTS_1,17_80_JA042618D7WTS_1.fcs compensated,JA,Spleen,8813,1,10021,4/19/2018,,7,WT,4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,168,0.286314350721328,0.052870310950353,0.018912465517098,0.003950427963029,0.000304199621626,0.130595499228207,0.000856478649211,0.077493811829615,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.034763766074658,0.002676956670306,0.060760696945625,60760.696945625,0.00014254348169,0.681945544100611,0.11836523949314,0.049421861437412,1.12445014876612,0.034150724535224,4.07267090543153E-05,0.024184781868036,0.44107395449507,441073.95449507,24184.781868036
34,39,40,NA,19,84,JA042618D7WTS_3,19_84_JA042618D7WTS_3.fcs compensated,JA,Spleen,8813,1,10022,4/19/2018,,7,WT,4.018,0.028,11.6,535957,392565,386915,380653,370786,11340,4322,2098,351098,10912,3751,91985,18912,1226,22,67,217,3191,1274,44377,676,21,142,15,7,168,0.24808110338578,0.030583678995431,0.011656319278506,0.0056582503115,0.000180697221578,0.112353372434018,0.005865102639296,0.051005162007196,0.292430351906158,0.339642761930152,0.482437353916399,0.551386623164764,0.954545454545455,2.87774079927505,0.354770676347003,0.135213303630666,0.065635703613405,0.002096087770304,0.039859681928283,39859.681928283,0.000793039903992,0.591659879283468,0.10374571373014,0.04592421989482,1.38832965645952,0.021978095418858,0.000756992635629,0.018441462244637,0.336329214102366,336329.214102366,18441.462244637
38,43,44,NA,23,92,AD050318D9WTS_1,23_92_AD050318D9WTS_1.fcs compensated,AD,Spleen,1293,1,10037,,,9,WT,6.2,0.054,7.25,607724,386577,375993,367162,359208,8750,4135,356,345034,8560,3903,69060,13295,961,4,3196,170,3158,1610,49525,647,1,134,1774,9,216,0.192256297187145,0.024359145676043,0.011511436270907,0.00099106924122,0.008897351952072,0.112266355140187,0.001024852677428,0.03701198191577,0.36892523364486,0.412503202664617,0.717130031856357,0.673257023933403,0.25,1.3938581546068,0.176603806151311,0.083457912964077,0.007185251998842,0.064505801652524,0.019826665620492,19826.665620492,8.55320655537551E-05,0.268336868889334,0.065153600446944,0.034426656385386,0.999577542816418,0.013348441890175,2.13830163884388E-05,0.007713976547015,0.168889829604296,168889.829604296,7713.976547015
40,45,46,NA,25,96,AD050318D9WTS_3,25_96_AD050318D9WTS_3.fcs compensated,AD,Spleen,1293,1,10036,,,9,WT,5.7,0.054,9.15,609005,364344,348474,336383,323468,6878,3548,1656,310315,6732,3323,53959,12847,777,3,5261,1496,2572,1498,37666,493,1,1343,3013,9,216,0.166814027971855,0.021263308889906,0.010968627499474,0.005119517231998,0.016264359998516,0.11541889483066,0.000902798675895,0.039716447994856,0.382055852644088,0.450797472163707,0.698048518319465,0.634491634491634,0.333333333333333,1.52634835594247,0.194559276342637,0.100362941620191,0.046843582672784,0.148818893986422,0.02245581665452,22455.81665452,9.06075308036634E-05,0.36340549915293,0.074332510212903,0.045243360381296,1.06546520830499,0.014248027812971,3.02025102678878E-05,0.008498263584565,0.186061012758072,186061.012758072,8498.263584565
