,FileID,Organ,Age,Genotype,intage,NaiveCT,ActivatedCD4CT,X4TregCT,ThymicDerivedTregsCT,X4TregProlCT,NaiveDerivedTregsCT,hours,ActivatedProlCT,NaiveProlCT,ThymicNaive,ActivatedNaiveCT,X4TregRatio
18,GM042718D4KOS,Spleen,4,KO,4,232477.723496235,91849.4577206108,3893.05870076964,72.3591482170055,389.305870076964,3431.39368247567,96,19033.0543712693,59717.2636616556,172760.45983458,72816.4033493415,0.011861117101574
23,AD052218D4KOS_T4,Spleen,4,KO,4,60088.921583325,23740.4891076976,914.537668310421,8.60525934145941,77.0136983840354,828.918710584926,96,6954.31499969977,11422.0978114939,48666.8237718311,16786.1741079978,0.010791775531069
24,AD052218D4KOS_T7,Spleen,4,KO,4,60889.1047035655,24056.6328851141,1168.85755185413,12.8313693514003,91.9326164379649,1064.09356606476,96,2835.12119503265,30284.3178657208,30604.7868378448,21221.5116900814,0.013573280463627
6,GM030918D7KOST3,Spleen,7,KO,7,144438.00012577,77262.6907810142,9096.92563539811,126.101806035499,3173.89493634513,5796.92889301749,168,5108.10214703116,30464.4857508425,113973.514374927,72154.5886339831,0.039415162823987
7,GM030918D7KOST5,Spleen,7,KO,7,201022.210033447,107530.683340992,5294.56298652606,119.747789679103,1542.39369915605,3632.42149769091,168,1,47572.0266443391,153450.183389108,107529.683340992,0.016869861071732
16,JA042618D7KOS_2,Spleen,7,KO,7,184941.819766033,98928.9703583461,3163.60144430718,26.2357053767864,645.20818929949,2492.1575496309,168,2664.59965991303,36228.6244837219,148713.195282311,96264.370698433,0.011021680806323
17,JA042618D7KOS_4,Spleen,7,KO,7,205672.321098802,110018.118039804,3899.37774585119,37.8580363674873,1750.74102874951,2110.77868073419,168,1,42302.1258036877,163370.195295114,110017.118039804,0.012201195219124
19,AD050318D9KOS_2,Spleen,9,KO,9,148019.383089897,36785.3901043061,2681.96528231303,52.5976821535312,520.957285053611,2108.41031510589,216,7536.44418231769,46525.0306854147,101494.352404482,29248.9459219884,0.01430482659257
20,AD050318D9KOS_4,Spleen,9,KO,9,182683.80305411,45400.101127312,3252.68464544439,58.1393829877591,537.40007185603,2657.1451906006,216,9232.12544945089,46476.1011669466,136207.701887163,36167.9756778612,0.014060398581734
21,AD051018D9KOS_T3,Spleen,9,KO,9,298758.329385976,74246.6389465991,6174.28087360804,151.536305287966,490.022291556194,5532.72227676388,216,1,88762.6517521786,209995.677633797,74245.6389465991,0.016283277332644
22,AD051018D9KOS_T4,Spleen,9,KO,9,197016.816978785,48962.1042757066,4976.95984447317,164.356791383631,175.657406275524,4636.94564681402,216,1,61458.5824313197,135558.234547466,48961.1042757066,0.019832011199253
3,JA102517D12KOS,Spleen,12,KO,12,203609.121707019,740884.078835805,78496.7539325135,553.559780911819,41599.6622222998,36343.5319293019,288,441574.818068375,46473.1209610502,157136.000745969,299309.26076743,0.076732673267327
9,GM032118D12KOS_2,Spleen,12,KO,12,130078.885042624,473325.429198935,22785.3843144723,470.721550109946,15418.0544922362,6896.60827212616,288,1,64859.3929572624,65219.4920853617,473324.429198935,0.036387350936968
15,JA033018D12KOS,Spleen,12,KO,12,1256950.07786846,4573735.65966353,430140.513193451,10141.8738118936,312652.923811041,107345.715570516,288,1228504.5482224,286894.774266729,970055.30360173,3345231.11144113,0.068703473945409
4,JA103117D14KOS,Spleen,14,KO,14,261213.421988556,1229730.76744384,160449.291909116,3805.7232426261,128359.433527293,28284.1351391972,336,358346.572130155,51169.6218156791,210043.800172877,871384.195313689,0.097159940209268
10,GM032118D14KOS_4,Spleen,14,KO,14,57532.1335995095,270847.624388558,24865.421026544,563.106570049376,14374.661900744,9927.65255575058,336,1,17192.6023382818,40339.5312612276,270846.624388558,0.070391395279355
11,GM032118D14KOS_6,Spleen,14,KO,14,93887.9794481134,442002.314205503,35653.9913116317,651.167994276786,25791.6596046069,9211.16371274798,336,134550.80254363,17846.8452473855,76041.134200728,307451.511661873,0.062381852551985
12,JA032218D14KOS_2,Spleen,14,KO,14,1459841.91567271,6872589.10985648,446528.21736294,10457.0864947849,392905.833181801,43165.2976863542,336,1012014.25971159,726079.268584587,733762.647088127,5860574.85014489,0.050863457160309
