"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio"
"1","JA102517D12KOS","Spleen",12,"KO",12,203609.121707019,740884.078835805,78496.7539325135,553.559780911819,41599.6622222998,36343.5319293019,288,407494.613107289,55839.0134102787,147770.108296741,333389.465728516,0.0767326732673267
"2","JA103117D14KOS","Spleen",14,"KO",14,261213.421988556,1229730.76744384,160449.291909116,3805.7232426261,128359.433527293,28284.1351391972,336,181327.617108658,88771.1263255801,172442.295662976,1048403.15033519,0.0971599402092676
"3","JA111417D18KOS","Spleen",18,"KO",18,1328526.37758987,7071893.33527681,1027553.52141681,24909.2701366977,818242.090766253,184402.16051386,432,1927511.80055585,303231.832287557,1025294.54530231,5144381.53472097,0.108989864086616
"4","GM030918D7KOST3","Spleen",7,"KO",7,144438.00012577,77262.6907810142,9096.92563539811,126.101806035499,3173.89493634513,5796.92889301749,168,1747.95112700624,36746.0880163985,107691.912109371,75514.739654008,0.0394151628239865
"5","GM030918D7KOST5","Spleen",7,"KO",7,201022.210033447,107530.683340992,5294.56298652606,119.747789679103,1542.39369915605,3632.42149769091,168,1,47572.0266443391,153450.183389108,107529.683340992,0.0168698610717323
"6","GM031318D19KOS","Spleen",18,"KO",18,919659.994749877,4895452.20727274,361119.596244343,7527.45181419914,150884.460930796,202707.683499348,432,1,251682.007089971,667977.987659906,4895451.20727274,0.0584692427420992
"7","GM032118D12KOS_2","Spleen",12,"KO",12,130078.885042624,473325.429198935,22785.3843144723,470.721550109946,15418.0544922362,6896.60827212616,288,124211.213036416,30723.7748289196,99355.1102137045,349114.216162519,0.0363873509369676
"8","GM032118D14KOS_4","Spleen",14,"KO",14,57532.1335995095,270847.624388558,24865.421026544,563.106570049376,14374.661900744,9927.65255575058,336,23994.5493389308,12095.7969985866,45436.3366009229,246853.075049628,0.0703913952793546
"9","GM032118D14KOS_6","Spleen",14,"KO",14,93887.9794481134,442002.314205503,35653.9913116317,651.167994276786,25791.6596046069,9211.16371274798,336,125641.092519335,19739.402468841,74148.5769792725,316361.221686168,0.0623818525519849
"10","JA032218D14KOS_2","Spleen",14,"KO",14,1459841.91567271,6872589.10985648,446528.21736294,10457.0864947849,392905.833181801,43165.2976863542,336,2980674.50824563,307906.044114214,1151935.8715585,3891914.60161085,0.0508634571603087
"11","JA032218D14KOS_4","Spleen",14,"KO",14,683678.401358467,3218595.57899808,332135.293473713,17249.6071771831,285724.753416074,29160.9328804553,336,1072747.4407089,144199.662818703,539478.738539764,2145848.13828918,0.0784372203996421
"12","GM032718D20KOS","Spleen",18,"KO",18,324431.512914962,1726984.94560519,94355.2450257827,2316.28282089252,67287.6797860632,24751.282418827,432,349436.670138888,101974.388614476,222457.124300486,1377548.2754663,0.0439726392466909
"13","JA033018D12KOS","Spleen",12,"KO",12,1256950.07786846,4573735.65966353,430140.513193451,10141.8738118936,312652.923811041,107345.715570516,288,1086637.43003768,325882.572976193,931067.504892266,3487098.22962585,0.0687034739454094
"14","JA042618D7KOS_2","Spleen",7,"KO",7,184941.819766033,98928.9703583461,3163.60144430718,26.2357053767864,645.20818929949,2492.1575496309,168,6291.22881594532,29448.8572092455,155492.962556787,92637.7415424007,0.011021680806323
"15","JA042618D7KOS_4","Spleen",7,"KO",7,205672.321098802,110018.118039804,3899.37774585119,37.8580363674873,1750.74102874951,2110.77868073419,168,1,42302.1258036877,163370.195295114,110017.118039804,0.0122011952191235
"16","GM042718D4KOS","Spleen",4,"KO",4,232477.723496235,91849.4577206108,3893.05870076964,72.3591482170055,389.305870076964,3431.39368247567,96,1,107891.322183286,124586.401312949,91848.4577206108,0.0118611171015743
"17","AD050318D9KOS_2","Spleen",9,"KO",9,148019.383089897,36785.3901043061,2681.96528231303,52.5976821535312,520.957285053611,2108.41031510589,216,5044.64959228443,56551.6716142625,91467.7114756344,31740.7405120217,0.0143048265925697
"18","AD050318D9KOS_4","Spleen",9,"KO",9,182683.80305411,45400.101127312,3252.68464544439,58.1393829877591,537.40007185603,2657.1451906006,216,3436.87025823209,69795.4161401026,112888.386914007,41963.23086908,0.0140603985817337
"19","AD051018D9KOS_T3","Spleen",9,"KO",9,298758.329385976,74246.6389465991,6174.28087360804,151.536305287966,490.022291556194,5532.72227676388,216,7945.77221718702,56789.9501327064,241968.37925327,66300.866729412,0.0162832773326441
"20","AD051018D9KOS_T4","Spleen",9,"KO",9,197016.816978785,48962.1042757066,4976.95984447317,164.356791383631,175.657406275524,4636.94564681402,216,5966.48710481747,37450.2536365266,159566.563342259,42995.6171708892,0.0198320111992534
"21","AD052218D4KOS_T4","Spleen",4,"KO",4,60088.921583325,23740.4891076976,914.537668310421,8.60525934145941,77.0136983840354,828.918710584926,96,1,29023.9798446323,31064.9417386927,23739.4891076976,0.010791775531069
"22","AD052218D4KOS_T7","Spleen",4,"KO",4,60889.1047035655,24056.6328851141,1168.85755185413,12.8313693514003,91.9326164379649,1064.09356606476,96,2835.12119503265,30284.3178657208,30604.7868378448,21221.5116900814,0.0135732804636267
