"","X","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","NaiveDerivedTregsRatio","ThymusDerivedTregRatio","NaiveDerivedTregsCT","X4TregFromThymusCT"
"1",1,NA,52,1,"JP090617D19KOS","52_1_JP090617D19KOS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8863,"8/18/2017","F",18,"KO",11.7,0.186,112.5,50000,31663,28089,27197,26143,1383,1718,102,22360,1318,1571,16616,3315,15,11,67,87,0,0,0,0,0,0,0,18,0.635581226332097,0.0529013502658455,0.0657154878935088,0.00390161802394522,0.00256282752553265,0.0113808801213961,0.00700190961171229,0.12680258577822,0,0,0,0,0,71.5028879623609,5.95140190490762,7.39299238801974,0.438932027693838,0.288318096622423,0.0677321916340018,0.0517650644609912,14.2652909000497,0,0,0,0,0,0,0.0227579556412729,0,0.135441740555275
"2",2,NA,51,3,"JP090617D19WTS","51_3_JP090617D19WTS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8864,"8/18/2017","F",18,"WT",11.9,0.074,72.2,55900,34584,31537,30671,29383,1717,1630,38,25579,1655,1552,19710,3475,146,19,103,14,0,0,0,0,0,0,0,18,0.670796038525678,0.0584351495762856,0.0554742538202362,0.0012932648129871,0.00350542830888609,0.0882175226586103,0.0122422680412371,0.118265663819215,0,0,0,0,0,48.431473981554,4.21901779940782,4.00524112582105,0.0933737194976687,0.253091923901576,0.372191298316339,0.0490332354320876,8.53878092774734,0,0,0,0,0,0.0509600270677814,0.0372574955908289,0.215001261257274,0.157190037059066
"3",3,NA,54,5,"JP091317D19KOS","54_5_JP091317D19KOS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","F",18,"KO",10.7,0.241,103.7,30000,18911,18757,17608,16397,454,694,18,14241,384,624,3385,2784,11,17,999,10,0,0,0,0,0,0,0,18,0.206440202476063,0.0276879917057998,0.0423248155150332,0.0010977617856925,0.060925779105934,0.0286458333333333,0.0272435897435897,0.169787156187107,0,0,0,0,0,21.4078489967677,2.87124473989144,4.38908336890895,0.113837897176313,6.31800329328536,0.0822491982781403,0.119574386652968,17.606928096603,0,0,0,0,0,0.0022431930693069,0.0264026402640264,0.00644075630080838,0.0758084419773317
"4",4,NA,53,7,"JP091317D19WTS","53_7_JP091317D19WTS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","M",18,"WT",11.1,0.08,40.25,30000,18838,18609,17795,16490,413,539,26,15043,387,508,8727,1167,50,17,71,5,0,0,0,0,0,0,0,18,0.529229836264403,0.0250454821103699,0.0326864766525167,0.0015767131594906,0.00430563978168587,0.129198966408269,0.0334645669291339,0.0707701637355973,0,0,0,0,0,21.3015009096422,1.00808065494239,1.3156306852638,0.0634627046694967,0.173302001212856,0.130242978674727,0.0440270111210326,2.84849909035779,0,0,0,0,0,0.0945081670115872,0.0346907993966818,0.0952718548984456,0.034971123776282
"5",5,NA,32,9,"JA102517D12KOS","32_9_JA102517D12KOS.fcs compensated","JA","10/25/2017","Spleen",7699,0,2,"10/13/2017",NA,12,"KO",4.5,0.033,10.9,100000,62291,58150,55263,53158,4989,612,100,45126,2828,512,11206,5325,217,16,201,21,2331,368,7681,215,16,17,48,12,0.21080552315738,0.0938522894014071,0.0115128484894089,0.00188118439369427,0.00378118063132548,0.0767326732673267,0.03125,0.10017306896422,0.824257425742574,0.71875,0.685436373371408,0.990783410138249,1,2.29778020241544,1.02298995447534,0.125490048534557,0.0205049098912675,0.0412148688814478,0.0784967539325135,0.00392156401670492,1.09188645171,0.843207066436355,0.0901959723842131,1.57498212874826,0.0777732815460388,0.00392156401670492,0.0696806647041734,0.00705200856315326,0.0712826200135338,0.00721413391897986
"6",6,NA,31,11,"JA102517D12WTS","31_11_JA102517D12WTS.fcs compensated","JA","10/25/2017","Spleen",7699,0,3,"10/13/2017",NA,12,"WT",10.2,NA,15.6,100000,70836,67216,64684,62524,2913,1454,35,56587,2454,1352,19291,5232,172,1,62,8,673,442,10762,129,0,1,22,12,0.308537521591709,0.0465901093979912,0.0232550700530996,0.000559785042543663,0.000991619218220203,0.0700896495517522,0.000739644970414201,0.0836798669310985,0.274246128769356,0.326923076923077,0.557876730081385,0.75,0,4.81318533683066,0.726805706608662,0.362779092828354,0.00873264666368114,0.0154692598042352,0.0509415572684148,0.000268327731381919,1.30540592412514,0.199323651404902,0.118600857270808,2.68516409698676,0.0382061679513111,0,0.0544846354816575,0.0156050140700947,0.0395997439905615,0.0113418132778533
"7",7,NA,38,17,"JA103117D14KOS","38_17_JA103117D14KOS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9169,"10/17/2017","M",14,"KO",9.7,0.166,30.4,50000,43132,41958,41540,40223,2185,3667,158,32234,2007,3646,15650,7409,195,158,475,155,978,2739,10160,156,158,123,217,14,0.389080874126743,0.0543221539914974,0.0911667453944261,0.0039281008378291,0.0118091639111951,0.0971599402092676,0.0433351618211739,0.184198095616936,0.48729446935725,0.751234229292375,0.649201277955272,0.8,1,11.828058573453,1.65139348134152,2.77146905999055,0.119414265470005,0.358998582900331,0.160449291909116,0.120102060197067,5.59962210675484,0.804714910190338,2.08202242328967,7.67879074161549,0.128359433527293,0.120102060197067,0.0734407751238786,0.023719165085389,0.121279617304242,0.0391696746048748
"8",8,NA,37,19,"JA103117D14WTS","37_19_JA103117D14WTS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9172,"10/17/2017","F",14,"WT",10.2,0.083,30,50000,40722,39964,39323,37760,4163,643,10,31551,1639,631,18738,3405,261,35,960,2,557,262,14732,177,35,1,190,14,0.496239406779661,0.110248940677966,0.0170286016949153,0.000264830508474576,0.0254237288135593,0.159243441122636,0.0554675118858954,0.0901747881355932,0.339841366687004,0.415213946117274,0.786209840964884,0.67816091954023,1,14.8871822033898,3.30746822033898,0.510858050847458,0.00794491525423729,0.76271186440678,0.52669262081054,0.0283360250073867,2.7052436440678,1.12401452027383,0.212115387198152,11.7044491525424,0.357182352043929,0.0283360250073867,0.0993445690884081,0.0598988720342279,0.32857900512318,0.19811361568736
"9",9,NA,48,21,"JA111417D18KOS","48_21_JA111417D18KOS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9205,"10/27/2017","",18,"KO",10.7,0.211,76,356752,296716,289249,288840,287532,35669,26651,1600,211978,34728,23570,152639,73157,3785,2984,755,887,17392,14983,105317,3444,2967,595,351,18,0.530859173935423,0.124052279398467,0.0926888137668155,0.00556459802735,0.00262579469415578,0.108989864086616,0.126601612218922,0.254430811179277,0.500806265837365,0.635680950360628,0.689974384004088,0.909907529722589,0.994302949061662,40.3452972190921,9.42797323428349,7.04434984627798,0.4229094500786,0.199560396755839,1.02755352141681,0.89182604757291,19.3367416496251,4.72158806987614,4.47795900495473,27.8372215962049,0.934978686330118,0.886745269151751,0.084748528119656,0.02424133596696,0.799006854757038,0.228546666659773
"10",10,NA,47,23,"JA111417D18WTS","47_23_JA111417D18WTS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9206,"10/27/2017","",18,"WT",10.9,NA,51.245,114356,91493,89887,89613,88453,11146,3790,198,70868,9240,3640,55324,15557,946,21,381,48,2109,1023,37869,536,17,22,87,18,0.625462109821035,0.126010423614801,0.0428476139870892,0.00223847693125162,0.00430737227680237,0.102380952380952,0.00576923076923077,0.175878715249907,0.228246753246753,0.281043956043956,0.684494975056034,0.566596194503171,0.80952380952381,32.0518058177789,6.45740415814048,2.19572597876839,0.11471075034199,0.220731292324737,0.661115187619145,0.0126676498775099,9.01290476298147,1.47388153349765,0.617095515461555,21.9393000237414,0.374585349433257,0.0102547641865556,0.0640494485390201,0.0383315038419319,0.413593175322473,0.247522012296669
