"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio"
"1","JA102517D12WTS","Spleen",12,"WT",12,469995.929451208,205868.21988904,50941.5572684148,794.943717926146,38206.1679513111,11940.4455991776,288,56458.5623412076,128894.564189349,341101.365261859,205868.21988904,0.0700896495517522
"2","JA103117D14WTS","Spleen",14,"WT",14,1891854.33287918,888921.266649258,526692.62081054,31548.2938953026,357182.352043929,137961.974871308,336,302092.218135227,642930.362058391,1248923.97082079,888921.266649258,0.159243441122636
"3","JA111417D18WTS","Spleen",18,"WT",18,3887571.01252866,1908717.95799268,661115.187619145,25341.5393541828,374585.349433257,261188.298831704,432,435658.676775601,887325.46162586,3000245.5509028,1908717.95799268,0.102380952380952
"4","GM030918D7WTS","Spleen",7,"WT",7,258829.333402803,123884.452495176,21618.7522061147,800.070689357577,9007.81341921447,11810.8680975427,168,19726.5040248406,41214.1942292236,217615.13917358,123884.452495176,0.0534677528241595
"5","GM031318D19WTS","Spleen",18,"WT",18,490798.329786618,240971.954672332,92904.4250763612,1964.3970476345,35356.9388427553,55583.0891859714,432,47204.4801331396,96143.4704685597,394654.859318058,240971.954672332,0.112655843573415
"6","GM032118D12WTS_1","Spleen",12,"WT",12,575461.275153546,252064.285895557,91351.5736620928,3260.84357428993,43930.2153597962,44160.5147280066,288,59535.9220655208,135920.158254639,439541.116898907,252064.285895557,0.0994165272061152
"7","GM032118D14WTS_3","Spleen",14,"WT",14,330359.176059888,155225.110162387,70245.831192948,2195.88423380578,32478.7188257167,35571.2281334255,336,38726.1640513737,82419.2917923397,247939.884267548,155225.110162387,0.126380037698591
"8","GM032118D14WTS_5","Spleen",14,"WT",14,288581.206303521,135594.991104888,45635.5081349737,1277.94625112512,21444.1100099124,22913.4518739362,336,28508.0594758937,60672.522826172,227908.683477349,135594.991104888,0.0971357409713574
"9","JA032218D14WTS_1","Spleen",14,"WT",14,1685134.04405576,791790.077535263,257563.500635224,4970.26589472946,156891.472468157,95701.7622723377,336,203389.53820503,432865.534386305,1252268.50966945,791790.077535263,0.0941907721730815
"10","JA032218D14WTS_3","Spleen",14,"WT",14,1331588.14495187,625670.274869593,188845.051540382,5729.37844130637,106978.712707716,76136.9603913593,336,131964.740282289,280855.093760326,1050733.05119154,625670.274869593,0.0879943833372338
"11","GM032718D20WTS","Spleen",18,"WT",18,1472050.59547796,722746.773655721,313434.064125937,10400.1348527893,180416.041754199,122617.887518949,432,227171.706300754,462690.748302205,1009359.84717575,722746.773655721,0.124962178517398
"12","JA033018D12WTS","Spleen",12,"WT",12,770971.604086057,337701.970958603,126017.589300416,3026.40963610533,65381.510766743,57609.6688975676,288,87554.1432653765,199885.591683332,571086.012402725,337701.970958603,0.102064056939502
"13","JA042618D7WTS_1","Spleen",7,"WT",7,273562.024058042,130936.015359439,60760.6969456246,1392.48842713639,34150.7245352235,25217.4839832647,168,33311.0839303016,69596.188019966,203965.836038076,130936.015359439,0.130595499228207
"14","JA042618D7WTS_3","Spleen",7,"WT",7,212974.30552538,101936.68889334,39859.6819282832,813.793587406116,21978.0954188576,17067.7929220195,168,29809.3818052279,62280.1511117566,150694.154413624,101936.68889334,0.112353372434018
"15","GM042718D4WTS","Spleen",4,"WT",4,156335.685855805,70500.7706964368,5463.17310862514,123.318648440279,2295.45088597695,3044.40357420791,96,50702.0364751647,112431.929017643,43903.7568381619,70500.7706964368,0.0235177865612648
"16","AD050318D9WTS_1","Spleen",9,"WT",9,107165.014409841,49612.1261209777,19826.6656204918,420.399167124258,13348.441890175,6057.82456319251,216,18303.1652208,39535.8779797055,67629.1364301358,49612.1261209777,0.112266355140187
"17","AD050318D9WTS_3","Spleen",9,"WT",9,117641.319869812,54462.1398183046,22455.81665452,560.721131458082,14248.0278129709,7647.06771009106,216,20807.5792651039,44945.5547690371,72695.7651007753,54462.1398183046,0.11541889483066
"18","AD051018D9WTS_T5","Spleen",9,"WT",9,131021.726381924,60656.6093388339,30256.1535484388,606.921356469427,14623.8075484121,15025.4246435573,216,16538.5352400759,35724.1768473814,95297.5495345427,60656.6093388339,0.136329209795506
"19","AD051018D9WTS_T1","Spleen",9,"WT",9,193422.611961197,89545.1474729292,29211.8149691877,1092.32780607236,8059.28681238199,20060.2003507333,216,17021.3311543983,36767.0434842437,156655.568476953,89545.1474729292,0.0935737548653586
"20","AD052218D4WTS_T2","Spleen",4,"WT",4,54783.6245697683,24705.0936103947,2385.42054285034,51.2453444336004,1008.38232038674,1325.79287803001,96,13113.2320474721,29078.6342571357,25704.9903126326,24705.0936103947,0.0291352138789564
"21","AD052218D4WTS_T3","Spleen",4,"WT",4,40095.2440551392,18081.256315057,1056.49494569276,24.7203839482968,510.927883572727,520.846678171734,96,8993.04590406782,19942.1082274245,20153.1358277147,18081.256315057,0.0178362573099415
"22","JA042618D7WTS_1","Spleen",7,"WT",7,273562.024058042,130936.015359439,60760.6969456246,1392.48842713639,34150.7245352235,25217.4839832647,168,33311.0839303016,69596.188019966,203965.836038076,130936.015359439,0.130595499228207
