alpha,Thy,Thy_max,epsilon,a,c,b_R,mu,beta,z,g,b_T,d,e_T,e_R,f,kA,n,EntryNumber,Notes,Naive,Activated,Treg,IL2,PreviousPset
0.006,1,1,1,0.1,0.01,0.1,60,10,1,0.01,0.1,0.01,0.01,0.01,1,10,1,0,1,220,9500,400,0.9,0
0.006,1,1,1,0.1,0.01,0.1,750,10,1,0.01,0.1,0.01,0.01,0.01,1,10,1,1,1,19616.091,9981.461,5474.285,0.642,0
0.006,1,1,1,0.1,0.01,0.1,1000,10,1,0.01,0.1,0.01,0.01,0.01,1,10,1,2,1,29218.357,9985.57,7019.848,0.584,1
0.006,1,1,1,0.1,0.01,0.1,298.254,10,1,0.01,0.1,0.01,0.01,0.01,1,10,1,3,1,4871.336,9957.547,2415.635,0.798,0
0.006,1,1,1,0.1,0.01,0.1,298.254,6.938,1,0.01,0.1,0.01,0.01,0.01,1,10,1,4,1,5977.524,6907.411,2310.719,0.741,3
664,1,1,0.0328,1.102,11184,126,1243,289,1,126,126,1000,3000,8000,0.1,10,1,5,1,200,50000,100,10000,4
664,1,1,0.0328,1.102,598,55,12427,289,1,126,126,1000,3000,8000,0.1,10,1,6,1,200,50000,100,10000,5
664,1,1,0.0328,1.102,598,55,12427,100,1,126,126,50000,3000,8000,0.1,10,1,7,1,200,50000,100,10000,6
664,1,1,0.2314,1.102,0,55,12427,100,1,126,20,5000,300,800,0.1,10,1,8,1,200,5000,100,90000,7
0,1,1,0,0.09,0,0,12427,100,1,126,20,500,300,800,0.1,1,1,9,1,10000,5000,0,1000,8
0,1,1,0,0.09,0,0,9363.373,0.01,0,0.01,20,500,300,800,0.1,1,0,10,1,10000,5000,0,1000,9
