"","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","CD4Ratio","X4TregRatio","CD4CT","X4TregCT"
"1",NA,52,1,"JP090617D19KOS","52_1_JP090617D19KOS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8863,"8/18/2017","F","18","KO",11.7,0.186,112.5,0.0529013502658455,0.0113808801213961,5.95140190490762,0.0677321916340018
"2",NA,51,3,"JP090617D19WTS","51_3_JP090617D19WTS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8864,"8/18/2017","F","18","WT",11.9,0.074,72.2,0.0584351495762856,0.0882175226586103,4.21901779940782,0.372191298316339
"3",NA,54,5,"JP091317D19KOS","54_5_JP091317D19KOS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","F","18","KO",10.7,0.241,103.7,0.0276879917057998,0.0286458333333333,2.87124473989144,0.0822491982781403
"4",NA,53,7,"JP091317D19WTS","53_7_JP091317D19WTS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","M","18","WT",11.1,0.08,40.25,0.0250454821103699,0.129198966408269,1.00808065494239,0.130242978674727
"5",NA,32,9,"JA102517D12KOS","32_9_JA102517D12KOS.fcs compensated","JA","10/25/2017","Spleen",7699,0,2,"10/13/2017",NA,"12","KO",4.5,0.033,10.9,0.0938522894014071,0.0767326732673267,1.02298995447534,0.0784967539325135
"6",NA,31,11,"JA102517D12WTS","31_11_JA102517D12WTS.fcs compensated","JA","10/25/2017","Spleen",7699,0,3,"10/13/2017",NA,"12","WT",10.2,NA,15.6,0.0465901093979912,0.0700896495517522,0.726805706608662,0.0509415572684148
"7",NA,38,17,"JA103117D14KOS","38_17_JA103117D14KOS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9169,"10/17/2017","M","14","KO",9.7,0.166,30.4,0.0543221539914974,0.0971599402092676,1.65139348134152,0.160449291909116
"8",NA,37,19,"JA103117D14WTS","37_19_JA103117D14WTS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9172,"10/17/2017","F","14","WT",10.2,0.083,30,0.110248940677966,0.159243441122636,3.30746822033898,0.52669262081054
"9",NA,48,21,"JA111417D18KOS","48_21_JA111417D18KOS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9205,"10/27/2017","","18","KO",10.7,0.211,76,0.124052279398467,0.108989864086616,9.42797323428349,1.02755352141681
"10",NA,47,23,"JA111417D18WTS","47_23_JA111417D18WTS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9206,"10/27/2017","","18","WT",10.9,NA,51.245,0.126010423614801,0.102380952380952,6.45740415814048,0.661115187619145
"11",NA,50,25,"JP120617D18KOS","50_25_JP120617D18KOS.fcs compensated","JP","12/6/2017","Spleen",1307,1,9371,"11/18/2017","M","18","KO",11.1,0.086,47.16,0.0621628775879502,0.0610212638514525,2.93160130704773,0.178890016864623
"12",NA,49,26,"JP120617D18WTS","49_26_JP120617D18WTS.fcs compensated","JP","12/6/2017","Spleen",1307,1,9373,"11/18/2017","M","18","WT",11.1,0.093,19.75,0.0491771230803762,0.101973684210526,0.97124818083743,0.0990417552827643
"13",NA,59,30,"JA022518WK8M1WTS","59_30_JA022518WK8M1WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9549,"12/24/2017","F","56","WT",23,0.117,39.15,0.245044738584523,0.125162252123736,9.59350151558409,1.20074425544298
"14",NA,60,32,"JA022518WK8M2WTS","60_32_JA022518WK8M2WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9550,"12/24/2017","F","56","WT",20.8,0.86,51.78,0.263114702354649,0.142797879098228,13.6240792879237,1.9454896269816
"15",NA,61,34,"JA022518WK8M3WTS","61_34_JA022518WK8M3WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9553,"12/24/2017","F","56","WT",19.7,0.098,39.45,0.277153286356337,0.136867540099809,10.9336971467575,1.496468232673
